ALL SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ENGLAND SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWEST SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANADA SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUROPE SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, Chairlift-Served U.S.
Ski Areas Without National Pass
Affiliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mt. Buller,"1,312 ",741,126,Independent,"Ikon, MC",,,,,,,2,1,,7,2,,1,,,3,,,1,2,19,,,"7, 26, 27","5, 26, 27",,,"2, 26","2018, 2019",Australia,,,,Eaglecrest,"1,401 ",640,350,Independent,Indy,,,,,,,,,,,,,4,,,,,,,,4,,,,,,2,,"2019, 2022",U.S. - West,,U.S. - Connecticut,Powder Ridge,550 ,80,38,Independent,Indy,,,,,,,,,,,1,,2,,,,,,,2,5,,,,,,2B,,2026,U.S. - East,,U.S. - Indiana,Paoli Peaks,300 ,65,18,Vail Resorts,Epic,,,,,,,,,,1,3,,1,,,,,,,2,7,U,U,,,,,,2019,U.S. - Midwest,,Japan (Aomori),Aomori Spring,"1,788 ",,320,Independent,Indy,,,1,,,,,,2,,,,2,,,,,,,,5,,,,,,2,,2022,Japan (Aomori),,Canada - Alberta,Lake Louise,"3,250 ","4,200",179,Independent,"Ikon, MC",,,1,,,,2,,4,2,1,,,,,,,,,3,13,,,7S,5SB,"1-4, B, S",,2,"2014, 2018",Canada - West,,,Hintertux,"5,742 ",,354,Independent,Epic,,,6,,,,3,,1,,1,,1,,,7,,,,1,20,5CS,,,,,,,2025,Europe - Austria,,U.S. - California,Alta Sierra,600 ,80,80,Independent,,,,,,,,,,,,,,2,,,,,,1,,3,,,,,,,,,U.S. - West
,Perisher,"1,407 ","3,076",190,Vail Resorts,Epic,,,,,,1,1,,2,6,1,,3,,,20,2,,2,7,45,"U, 27",,,,,,,2015,Australia,,,,Hilltop,294 ,35,76,Independent,Indy,,,,,,,,,,,1,,,,,,,1,,1,3,,,,,,2,,2025,U.S. - West,,U.S. - Maine,Big Moose,583 ,,136,Independent,Indy,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,2,,2024,U.S. - East,,U.S. - Iowa,Sundown,475 ,85,50,Independent,Indy,,,,,,,,,,1,1,,2,,,,,,,2,6,,,,,,2B,,2021,U.S. - Midwest,,Japan (Fukushima),Nekoma Mountain,"2,093 ",467,315,Hoshino Resorts,Ikon,,,1,,,,,,2,,,,11,1,,,,,,1,16,,,7,5,,,,2025,Japan (Fukushima),,Canada - Alberta,Marmot Basin,"3,000 ","1,720",173,Independent,MC,,,,,,,,,3,2,1,,,,,,,,,,6,,,,,,,2,2022,Canada - West,,,Hochzeiger Bergbahnen Pitztal AG,"3,445 ",,276,,Indy,,,1,,,1,2,,,,,,1,,,1,,3,,7,16,,,,,,2B,,2025,Europe - Austria,,,Badger Pass,800 ,90,300,Independent,,,,,,,,,,,,1,,3,,,,,,,,4,,,,,,,,,U.S. - West
,Thredbo,"2,205 ","1,186",78,Independent,Ikon,,,1,,,,,1,2,1,,,1,,,5,,,,3,14,,,"7, 26, 27","5, B, 26, 27",,,,2018,Australia,,,,Moose Mountain,"1,300 ",750,100,Independent,Indy,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,2023,U.S. - West,,U.S. - Maine,Bigrock,920 ,90,94,Independent,Indy,,,,,,,,,,1,1,,,,,,,,,1,3,,,,,,2,,2022,U.S. - East,,U.S. - Michigan,Big Powderhorn (UP),622 ,253,204,Independent,Indy,,,,,,,,,,,,,9,,,,,,1,,10,,,,,,2,,2019,U.S. - Midwest,,Japan (Gifu),Dynaland Ski Resort,"1,693 ",198,,Independent,Indy,,,,,,,,,3,,,,2,,,,,,,1,6,,,,,,2,,2024,Japan (Gifu),,Canada - Alberta,Mt. Norquay,"1,648 ",190,120,Independent,Ikon,,,,,,,,,1,2,,,1,,,,,,,2,6,,,7S,5SB,"1-4, B, S",,,2018,Canada - West,,,Innsbruck Ski & City Network,"5,282 ","11,614",248,Independent,Indy,,,,,,,,,,,,,,,,,,,,,111,,,,,,2,,2024,Europe - Austria,,,Boreal,501 ,380,389,Powdr,,,,,,,,,,1,2,3,,,,,,,,,2,8,,,,,,,,,U.S. - West
Canada - Alberta,Banff Sunshine,"3,514 ","3,358",360,Independent,"Ikon, MC",,,1,,,,1,,6,2,,,,,,,,,,2,12,,,7S,5SB,"1-4, B, S",,2,"2014, 2018",Canada - West,,,,Mount Eyak,800 ,100,350,Independent,Indy,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,2,,2024,U.S. - West,,U.S. - Maine,Black Mountain of Maine,"1,150 ",300,120,Independent,Indy,,,,,,,,,,,1,,1,,,1,,,1,,4,,,,,,2,,2022,U.S. - East,,U.S. - Michigan,Boyne Mountain,420 ,435,140,Boyne Resorts,Ikon,,,,,,1,1,,,4,1,,2,,,,,,,1,10,,,7,5B,"1-4, B, S",,,2018,U.S. - Midwest,,,Hirugano Kogen Ski Resort,492 ,75,165,Independent,Indy,,,,,,,,,1,,,,2,,,,,,,,3,,,,,,2,,2024,Japan (Gifu),,Canada - Alberta,Nakiska,"2,411 ","1,021",100,Resorts of the Canadian Rockies,Epic,,,,,,,,,3,,,,1,,,,,1,,,5,7S,,,,,,,2017,Canada - West,,,Ischgl,"4,925 ","1,273",244,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,2025,Europe - Austria,,,Homewood,"1,650 ","1,260",450,JMA Ventures,,,,1,,,,,,1,,2,,,,,,,1,,2,7,,,,,,,,,U.S. - West
,Castle Mountain,"2,854 ","3,592",335,Independent,Indy,,,,,,,,,1,,2,,2,,,1,,,,1,7,,,,,,2,,2019,Canada - West,,,,Skeetawk,254 ,30,,Independent,Indy,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,2,,2026,U.S. - West,,U.S. - Maine,Camden Snow Bowl,850 ,105,50,Independent,Indy,,,,,,,,,,,1,,1,,,,,,,1,3,,,,,,2,,2024,U.S. - East,,U.S. - Michigan,Caberfae Peaks,485 ,200,120,Independent,Ikon,,,,,,,,,,1,3,,,,,,,,,1,5,,,2B,,,,,2026,U.S. - Midwest,,,Takasu Snow Park,"1,969 ",247,,Independent,Indy,,,1,,,,,,3,,,,,,,,,,,1,5,,,,,,2,,2024,Japan (Gifu),,Canada - Alberta,Pass Powderkeg,810 ,150,75,Independent,Indy,,,,,,,,,,,,,,,,2,,,,,2,,,,,,2,,2023,Canada - West,,,Kaunertaler Glacier,"3,159 ",,394,Independent,Indy,1,,2,,,,,,2,,,,,,,3,,,,1,9,,,,,,2,,2024,Europe - Austria,,,Mt. Baldy,"2,100 ",800,170,Independent,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,U.S. - West
,Lake Louise,"3,250 ","4,200",179,Independent,"Ikon, MC",,,1,,,,2,,4,2,1,,,,,,,,,3,13,,,7S,5SB,"1-4, B, S",,2,"2014, 2018",Canada - West,,,,Ski Land,"1,014 ",100,200,Independent,Indy,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,2,,2026,U.S. - West,,U.S. - Maine,Lost Valley,240 ,45,99,Independent,Indy,,,,,,,,,,,,,3,,,,,,,1,4,,,,,,2,,2024,U.S. - East,,U.S. - Michigan,Crystal Mountain MI,375 ,103,132,Independent,Indy,,,,,,,,,1,3,2,,,,,,,,,2,8,,,,,,2B,,2020,U.S. - Midwest,,,Washigatake,"1,444 ",136,,Independent,Indy,,,,,,,,,3,,,,2,,,,,,,1,6,,,,,,2,,2024,Japan (Gifu),,Canada - British Columbia,Apex Mountain,"1,979 ","1,112",224,Independent,Indy,,,,,,,,,1,,1,,,,,1,,,,,3,,,,,,2,,2019,Canada - West,,,Kitzbühel,"3,950 ","1,421",,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,57,,,7,5,,,,2021,Europe - Austria,,,Soda Springs,550 ,200,400,Powdr,,,,,,,,,,,,1,,1,,,,,,,2,4,,,,,,,,,U.S. - West
,Marmot Basin,"3,000 ","1,720",173,Independent,MC,,,,,,,,,3,2,1,,,,,,,,,,6,,,,,,,2,2022,Canada - West,,,U.S. - Arizona,Arizona Snowbowl,"2,300 ",777,242,Mountain Capital Partners,Power,,,,,,,1,1,,3,1,,,,,,,,,2,8,,,,,,,,,U.S. - West,,U.S. - Maine,Mount Abram,"1,050 ",170,115,Independent,Indy,,,,,,,,,,,,,2,,,1,,,,1,4,,,,,,2,,2024,U.S. - East,,U.S. - Michigan,Marquette Mountain (UP),540 ,330,210,Independent,Indy,,,,,,,,,,,2,,1,,,,,,1,,4,,,,,,2,,2022,U.S. - Midwest,,,White Pia Takasu,"1,509 ",146,,Independent,Indy,,,,,,,,,2,,,,2,,,,,,,1,5,,,,,,2,,2024,Japan (Gifu),,Canada - British Columbia,Baldy Mountain Resort,"1,302 ",600,275,Independent,Indy,,,,,,,,,,1,,,1,,,1,,,,,3,,,,,,2,,2023,Canada - West,,,Kitzsteinhorn,"7,412 ",,295,Independent,Epic,1,1,5,,,,3,1,1,,,,1,,,4,5,,,,23,5S,,,,,,,2025,Europe - Austria,,,Tahoe Donner,500 ,120,400,Independent,,,,,,,,,,,1,1,,,,,,,,,3,5,,,,,,,,,U.S. - West
,Mt. Norquay,"1,648 ",190,120,Independent,Ikon,,,,,,,,,1,2,,,1,,,,,,,2,6,,,7S,5SB,"1-4, B, S",,,2018,Canada - West,,,U.S. - California,Bear Mountain (Big Bear),"1,665 ",198,114,Alterra ,Ikon,,,,,,,1,,2,,2,,2,,,,,,,4,11,,,U,U,"1-4, B, S",,,2018,U.S. - West,,U.S. - Maine,Pleasant Mountain,"1,300 ",249,110,Boyne Resorts,Snow Pass,,,,,,,,,1,1,2,,,,,,,,,2,6,,,,,,,,2026,U.S. - East,,U.S. - Michigan,Mont Ripley (UP),470 ,115,275,Independent,Indy,,,,,,,,,,,,,2,,,1,,,1,,4,,,,,,Discount,,2023,U.S. - Midwest,,Japan (Gunma),Hodaigi,"1,870 ",,170,Independent,Indy,,,,,,,,,2,,,,5,,,,,,,1,8,,,,,,2,,2025,Japan (Gunma),,Canada - British Columbia,Big White,"2,657 ","2,765",294,Independent,Indy,,,1,,,,1,,4,2,,,3,,,1,,,,,12,,,,,,2B,,2023,Canada - West,,,Mayrhofen,"6,080 ",,315,Independent,Epic,2,,6,,,3,11,1,3,,,,,,,5,6,,7,16,60,5CS,,,,,,,2025,Europe - Austria,,U.S. - Colorado,Silverton (unguided),"1,762 ","1,819",294,Independent,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,U.S. - West
,Nakiska,"2,411 ","1,021",100,Resorts of the Canadian Rockies,Epic,,,,,,,,,3,,,,1,,,,,1,,,5,7S,,,,,,,2017,Canada - West,,,,Bear Valley,"1,900 ","1,680",352,California Mountain Resort Company,Indy,,,,,,,1,,1,1,2,,2,,,,,,,2,9,,,,,,2B,,2024,U.S. - West,,U.S. - Maine,Saddleback,"1,850 ",600,225,Independent,Indy,,,,,,,,,1,3,,,,,,,1,,,1,6,,,,,,2,,2021,U.S. - East,,U.S. - Michigan,Mount Brighton,230 ,130,60,Vail Resorts,Epic,,,,,,,,,,2,3,,,,,,,,5,2,12,U,U,,,,,,2013,U.S. - Midwest,,,Mt. T,"2,467 ",234,650,Hoshino Resorts,Ikon,,1,,,,,,,,,,,4,,,,,,,,5,,,7,5,,,,2025,Japan (Gunma),,Canada - British Columbia,Cypress,"2,010 ",600,425,Boyne Resorts,Ikon,,,,,,,,,2,3,,,1,,,,,,,1,7,,,7,5B,"1-4, B, S",,,2018,Canada - West,,,Obertauern,"2,241 ",,315,,Indy,,,1,,,1,6,2,5,3,,,2,,,2,3,,,1,26,,,,,,2,,2026,Europe - Austria,,,Ski Cooper,"1,200 ",480,260,Independent,,,,,,,,,,,,1,,1,,,1,,1,,1,5,,,,,,,,2023,U.S. - West
,Pass Powderkeg,810 ,150,75,Independent,Indy,,,,,,,,,,,,,,,,2,,,,,2,,,,,,2,,2023,Canada - West,,,,China Peak,"1,679 ","1,200",300,California Mountain Resort Company,Indy,,,,,,,,,,2,4,,,,,1,,,,4,11,,,,,,2,,2020,U.S. - West,,U.S. - Maine,Sugarloaf,"2,748 ","1,360",200,Boyne Resorts,"Ikon, MC",,,,,,,,,3,3,1,,5,,,2,,,,1,15,,,7,5B,"1-4, B, S",,2,"2018, 2020",U.S. - East,,U.S. - Michigan,Mount Holiday,200 ,45,120,Independent,Indy,,,,,,,,,,,,,2,,,,,,,,2,,,,,,2,,2024,U.S. - Midwest,,,Palcall Tsumagoi,"2,395 ",,,Independent,Indy,,,1,,,,,,1,,,,1,1,,,,,,1,5,,,,,,2,,2024,Japan (Gunma),,Canada - British Columbia,Fairmont Hot Springs,"1,000 ",88,100,Independent,Indy,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,2,,2023,Canada - West,,,Petzen ,"4,101 ",,,,Indy,,,1,,,,,,,1,,,,,,1,,2,1,2,8,,,,,,2,,2026,Europe - Austria,,,Wolf Creek,"1,604 ","1,600",430,Independent,,,,,,,,,,3,2,2,,1,,,,,1,,2,11,,,,,,,,,U.S. - West
Canada - British Columbia,Apex Mountain,"1,979 ","1,112",224,Independent,Indy,,,,,,,,,1,,1,,,,,1,,,,,3,,,,,,2,,2019,Canada - West,Public w/Aerial Lifts,,,Dodge Ridge,"1,600 ",862,300,California Mountain Resort Company,Indy,,,,,,,,,,1,3,,3,,,1,,,1,2,11,,,,,,2B,,2022,U.S. - West,,U.S. - Maine,Sunday River,"2,350 ","1,184",167,Boyne Resorts,"Ikon, MC",,,,,,1,1,1,2,5,5,,1,,,1,,,,3,20,,,7,5B,"1-4, B, S",,2,"2018, 2024",U.S. - East,,U.S. - Michigan,Norway Mountain (UP),500 ,160,33,Independent,Indy,,,,,,,,,,,1,,2,,,,,,3,,6,,,,,,2,,2024,U.S. - Midwest,,Japan (Hokkaido),Canmore Ski Village,807 ,,180,Independent,Indy,,,,,,,,,1,,,,1,,,,,,,,2,,,,,,2,,2025,Japan (Hokkaido),,Canada - British Columbia,Fernie,"3,550 ","2,500",360,Resorts of the Canadian Rockies,Epic,,,,,,,,,2,2,3,,,,,1,,1,,1,10,7S,,,,,,,2017,Canada - West,,,Pitztaler Gletscherbahn,"5,774 ",,394,,Indy,1,,2,,,,1,,,,,,,,,1,1,,,1,7,,,,,,2B,,2025,Europe - Austria,,U.S. - Connecticut,Ski Sundown,625 ,65,45,Independent,,,,,,,,,,,1,2,,,,,,,,,2,5,,,,,,,,,U.S. - East
,Baldy Mountain Resort,"1,302 ",600,275,Independent,Indy,,,,,,,,,,1,,,1,,,1,,,,,3,,,,,,2,,2023,Canada - West,Public w/Aerial Lifts,,,Donner Ski Ranch,800 ,500,389,Independent,Indy,,,,,,,,,,,1,,5,,,,,,,2,8,,,,,,2,,,U.S. - West,,U.S. - Massachusetts,Berkshire East,"1,180 ",180,110,Bear Den Partners,Indy,,,,,,,,,1,2,,,1,,,,,,,2,6,,,,,,2,,2019,U.S. - East,,U.S. - Michigan,Nub’s Nob,425 ,248,125,Independent,Indy,,,,,,,,,,4,3,,1,,,,,,1,1,10,,,,,,2B,,2022,U.S. - Midwest,,,Furano,"2,753 ",479,354,Prince Snow Resorts,Ikon,1,,1,,,,,,2,,,,5,,,,,,,2,11,,,7,5,,,,2025,Japan (Hokkaido),,Canada - British Columbia,Grouse Mountain,"3,202 ",212,220,Northland Properties Corporation,Ikon,1,,1,,,,,,2,2,,,,,,,,,1,1,8,,,2B,,,,,2025,Canada - West,,,Rauriser-Hochalmbahnen,"4,019 ",,177,Independent,Indy,,,3,,,,,,,,,,1,,,3,,1,2,,10,,,,,,2,,2025,Europe - Austria,,U.S. - Idaho,Bogus Basin,"1,800 ","2,600",248,Independent,,,,,,,,,,4,2,,,1,,,,,,,3,10,,,,,,,,2022,U.S. - West
,Big White,"2,657 ","2,765",294,Independent,Indy,,,1,,,,1,,4,2,,,3,,,1,,,,,12,,,,,,2B,,2023,Canada - West,Public w/Aerial Lifts,,,Heavenly,"3,475 ","4,800",251,Vail Resorts,Epic,1,,1,,,,2,,8,1,5,,2,,,,,,2,4,26,U,UB,,,,,,2008,U.S. - West,,U.S. - Massachusetts,Blue Hills,309 ,60,,Independent,Snow Pass,,,,,,,,,,,,,1,,,,,,2,3,6,,,,,,,,2026,U.S. - East,,U.S. - Michigan,Pine Mountain (UP),364 ,220,30,Independent,Indy,,,,,,,,,,,1,,2,,,,,,3,,6,,,,,,2,,2019,U.S. - Midwest,,,Kamui Ski Links,"1,972 ",247,315,Independent,Indy,,,1,,,,,,,,,,5,,,,,,,,6,,,,,,2,,2023,Japan (Hokkaido),,Canada - British Columbia,Hudson Bay Mountain,"1,798 ",700,160,Independent,Indy,,,,,,,,,,,1,,,,,2,,,,,3,,,,,,2,,2023,Canada - West,,,Saalbach,"4,282 ",,236,Independent,Epic,,,29,,,6,12,,2,2,,,,,,3,12,,2,1,69,5S,,,,,,,2025,Europe - Austria,,,Lookout Pass,"1,650 ","1,023",415,Independent,,,,,,,,,,,2,2,,1,,,,,,,,5,,,,,,,,,U.S. - West
,Cypress,"2,010 ",600,425,Boyne Resorts,Ikon,,,,,,,,,2,3,,,1,,,,,,,1,7,,,7,5B,"1-4, B, S",,,2018,Canada - West,Public w/Aerial Lifts,,,June Mountain,"2,545 ","1,500",276,Alterra ,Ikon,,,,,,,,,2,,,,4,,,,,,,1,7,,,U,UB,"1-4, B, S",,,2018,U.S. - West,,U.S. - Massachusetts,Bousquet,750 ,200,83,Independent,Indy,,,,,,,,,,,1,,1,,,,,,,1,3,,,,,,2,,2024,U.S. - East,,U.S. - Michigan,Shanty Creek - Schuss,500 ,81,160,Independent,Indy,,,,,,,,,,5,,,2,,,,,,1,1,9,,,,,,2B,,2019,U.S. - Midwest,,,Kiroro,"2,001 ",297,709,Independent,Indy,,,1,,,,,1,4,,,,3,1,,,,,,,10,,,,,,2,,2023,Japan (Hokkaido),,Canada - British Columbia,Kicking Horse,"4,314 ","3,400",288,Resorts of the Canadian Rockies,Epic,,,1,,,,,,,2,,,1,,,,,,,,4,7S,,,,,,,2017,Canada - West,,,Silvretta Montafon,"5,675 ",,180,Independent,Epic,2,,8,,,3,5,,,3,,1,6,,,2,2,,1,2,35,5C,,,,,,,2025,Europe - Austria,,U.S. - Illinois,Villa Olivia,180 ,15,25,Independent,,,,,,,,,,,1,,,,,,,,,6,,7,,,,,,,,,U.S. - Midwest
,Fairmont Hot Springs,"1,000 ",88,100,Independent,Indy,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,2,,2023,Canada - West,Public w/Aerial Lifts,,,Kirkwood,"2,000 ","2,300",354,Vail Resorts,Epic,,,,,,,,,2,1,6,,1,,,1,,,,2,13,U,UB,,,,,,2012,U.S. - West,,U.S. - Massachusetts,Butternut,"1,000 ",110,110,Murdock Family,"Snow Pass, Ikon",,,,,,,,,,5,,,,,,,,,,4,9,,,2B,,,,,"2024, 2025, 2026",U.S. - East,,U.S. - Michigan,Snowriver: Black River (UP),490 ,170,204,Midwest Family Ski Resorts,Ikon,,,,,,,,,,,,,4,,,,,,1,,5,,,"7, S","5, B, S","1-4, B, S",,,2026,U.S. - Midwest,,,Nayoro Piyashiri,"1,575 ",,,Independent,Indy,,,,,,,,,,,,,4,,,,,,,,4,,,,,,2,,2024,Japan (Hokkaido),,Canada - British Columbia,Kimberley,"2,465 ","1,800",156,Resorts of the Canadian Rockies,Epic,,,,,,,,,1,,1,,1,,,1,,,,,4,7S,,,,,,,2017,Canada - West,,,Ski Arlberg,"4,944 ",,355,Independent,Epic,5,,12,,,1,17,1,9,4,,,11,,,6,15,,3,1,85,3CLo,,,,,,,2016,Europe - Austria,,U.S. - Indiana,Perfect North,400 ,100,10,Perfect Family,,,,,,,,,,,3,2,,,,,,,,2,5,12,,,,,,,,,U.S. - Midwest
,Fernie,"3,550 ","2,500",360,Resorts of the Canadian Rockies,Epic,,,,,,,,,2,2,3,,,,,1,,1,,1,10,7S,,,,,,,2017,Canada - West,Public w/Aerial Lifts,,,Mammoth,"3,100 ","3,500",357,Alterra ,Ikon,,,2,,,,4,,8,1,6,,3,,,,,1,,2,27,,,U,UB,"1-4, B, S",,,2018,U.S. - West,,U.S. - Massachusetts,Catamount,"1,000 ",133,108,Bear Den Partners,Indy,,,,,,,,,,2,3,,,,,,,,,3,8,,,,,,2,,2019,U.S. - East,,U.S. - Michigan,Snowriver: Jackson Creek (UP),538 ,230,204,Midwest Family Ski Resorts,Ikon,,,,,,,1,,,,,,2,,,1,,,1,1,6,,,"7, S","5, B, S","1-4, B, S",,,2026,U.S. - Midwest,,,Niseko United,"3,084 ","2,150",669,Independent,"Ikon, MC",,,6,,,,2,1,5,1,,,12,,3,,,,,7,37,,,7,5B,"1-4, B, S",,2,2018,Japan (Hokkaido),,Canada - British Columbia,Manning Park,"1,434 ",140,300,Independent,Indy,,,,,,,,,,1,,,1,,,1,,,,,3,,,,,,2B,,2021,Canada - West,,,Ski Welt,"4,098 ",,157,Independent,Indy,,,16,,,6,11,1,2,10,1,,2,,,4,,9,8,11,81,,,,,,2,,2023,Europe - Austria,,U.S. - Iowa,Crescent Hill at Hitchcock,300 ,50,30,Independent,,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,U.S. - Midwest
,Grouse Mountain,"3,202 ",212,220,Northland Properties Corporation,Ikon,1,,1,,,,,,2,2,,,,,,,,,1,1,8,,,2B,,,,,2025,Canada - West,Public w/Aerial Lifts,,,Mountain  High: West,"1,000 ",145,117,California Mountain Resort Company,Indy,,,,,,,,,1,,3,,2,,,,,,,2,8,,,,,,2SB,,2022,U.S. - West,,U.S. - Massachusetts,Jiminy Peak,"1,150 ",167.4,100,Fairbank Group,Ikon,,,,,,,1,,,2,3,,1,,,,,,,2,9,,,2B,,,,,2025,U.S. - East,,U.S. - Michigan,The Highlands ,513 ,435,140,Boyne Resorts,Ikon,,,,,,,1,,1,3,1,,,,,,,,1,2,9,,,7,5B,"1-4, B, S",,,2018,U.S. - Midwest,,,Pippu,984 ,,,Independent,Indy,,,,,,,,,,,,,5,,1,,,,1,,7,,,,,,2,,2023,Japan (Hokkaido),,Canada - British Columbia,Mount Washington Alpine,"1,657 ","1,700",457,Pacific Group Resorts,Indy,,,,,,,1,,1,2,1,,,,,,,,,,5,,,,,,2,,2024,Canada - West,,,Sölden,"6,529 ",,230,Independent,Epic,,,7,,,3,4,,4,1,,,1,,,6,1,,,2,30,5,,,,,,,2025,Europe - Austria,,,Seven Oaks,240 ,35,40,Independent,,,,,,,,,,,,2,,,,,,,,3,,5,,,,,,,,2024,U.S. - Midwest
,Hudson Bay Mountain,"1,798 ",700,160,Independent,Indy,,,,,,,,,,,1,,,,,2,,,,,3,,,,,,2,,2023,Canada - West,Public w/Aerial Lifts,,,Mountain High: East,"1,600 ",145,117,California Mountain Resort Company,Indy,,,,,,,,,1,1,,,2,,,,,,,1,5,,,,,,2SB,,2022,U.S. - West,,U.S. - New Hampshire,Attitash,"1,750 ",311,120,Vail Resorts,Epic,,,,,,,,,3,2,2,,,,,,,,,1,8,U,U,,,,,,2019,U.S. - East,,U.S. - Michigan,Treetops,223 ,80,140,Independent,Indy,,,,,,,,,,,3,,,,,,,,,2,5,,,,,,2B,,2022,U.S. - Midwest,,,Rusutsu,"1,949 ","2,026",,Kamori Kankō ,Epic,,,4,,,,,,7,,,,6,1,,,,,,4,22,5C,5C,,,,,,2018,Japan (Hokkaido),,Canada - British Columbia,Murray Ridge,"1,674 ",,,,Indy,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,2,,2026,Canada - West,,,St. Johann (in Tirol/Oberndorf-Harschbichl),"3,100 ",,,,Indy,,,5,,,,1,,1,,,,,,,,,2,,,9,,,,,,2,,2026,Europe - Austria,,U.S. - Maine,Hermon Mountain,276 ,60,90,Independent,,,,,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,U.S. - East
,Kicking Horse,"4,314 ","3,400",288,Resorts of the Canadian Rockies,Epic,,,1,,,,,,,2,,,1,,,,,,,,4,7S,,,,,,,2017,Canada - West,Public w/Aerial Lifts,,,Mt. Shasta,"2,036 ",635,157,Independent,Indy,,,,,,,,,,1,3,,,,,,,,,2,6,,,,,,2B,,2019,U.S. - West,,U.S. - New Hampshire,Black Mountain,"1,100 ",140,125,Independent,Indy,,,,,,,,,,,1,,1,,,,1,1,1,,5,,,,,,2,,2019,U.S. - East,,U.S. - Minnesota,Afton Alps,350 ,300,60,Vail Resorts,Epic,,,,,,,,,,1,2,,12,,,,,,2,2,19,U,U,,,,,,2013,U.S. - Midwest,,,Yubari (Mount Racey),"1,325 ",,315,Independent,Indy,,,1,,,,,,2,,,,,2,,,,,,,5,,,,,,2,,2023,Japan (Hokkaido),,Canada - British Columbia,Panorama,"4,265 ","2,975",204,Independent,"Ikon, MC",,,,1,,,,,2,2,1,,1,,,,,1,,2,10,,,7,5B,"1-4, B, S",,2,"2020, 2022",Canada - West,,,Steinplatte Tyrol,"3,674 ",,,,Indy,,,2,,,2,4,,2,1,,,,,,3,,,,,14,,,,,,2,,2025,Europe - Austria,,U.S. - Massachusetts,Nashoba Valley,240 ,59,50,Independent,,,,,,,,,,,,3,,1,,,,,,3,4,11,,,,,,,,,U.S. - East
,Kimberley,"2,465 ","1,800",156,Resorts of the Canadian Rockies,Epic,,,,,,,,,1,,1,,1,,,1,,,,,4,7S,,,,,,,2017,Canada - West,Public w/Aerial Lifts,,,Northstar,"2,280 ","3,170",350,Vail Resorts,Epic,,,1,1,,,1,1,6,1,2,,,,,,,1,1,5,20,U,UB,,,,,,2010,U.S. - West,,U.S. - New Hampshire,Cannon,"2,180 ",287,160,Independent,Indy,,,,,,,,,1,2,3,,1,,,1,,,1,,9,,,,,,2,,2020,U.S. - East,,U.S. - Minnesota,Andes Tower Hills,290 ,70,50,Independent,Indy,,,,,,,,,,1,2,,,,,,,,1,2,6,,,,,,2,,2023,U.S. - Midwest,,Japan (Iwate),Amihari,"2,329 ",143,,Independent,Indy,,,,,,,,,,,,,4,,,,,,,,4,,,,,,2,,2024,Japan (Iwate),,Canada - British Columbia,Phoenix Mountain,653 ,91,45,Independent,Indy,,,,,,,,,,,,,,,,1,,,,,1,,,,,,2,,2023,Canada - West,,Europe - Finland,Levi,"1,099 ",370,50,,Indy,1,,1,,,,6,,,,,,,,,10,,5,,3,26,,,,,,2B,,2025,Europe - Finland,,,Otis Ridge,400 ,70,70,Murdock Family,,,,,,,,,,,,,,1,,,1,,,1,2,5,,,,,,,,,U.S. - East
